gene_symbol,Alkbh3
pvalue,0.8877769
mouse_strain,C57BL
analysis_id,3i35s1pfx64344c
parameter_id,JAX_OFD_017_001
gene_accession_id,MGI:1916363
mouse_life_stage,Early adult
parameter_name,Center average speed
