parameter_name,Hindlimbs - size
parameter_id,JAXLA_CSD_022_001
pvalue,0.06900022
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,nyf83eck824053r
gene_accession_id,MGI:1916043
gene_symbol,Rab3gap2
