analysis_id,30i3z84573e6wmz
gene_symbol,Hpca
mouse_strain,C57BL
pvalue,0.4881549
parameter_id,IMPC_ABR_002_001
gene_accession_id,MGI:1336200
parameter_name,Click-evoked ABR threshold
mouse_life_stage,Early adult
