analysis_id,279gcx6t913b2m8
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_id,JAX_LDT_005_001
gene_symbol,Arpc2
parameter_name,Time mobile dark side
gene_accession_id,MGI:1923959
pvalue,0.2260446
