gene_symbol,Dzank1
pvalue,0.9771887
analysis_id,ys37080oc39xiz0
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2139080
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
parameter_id,IMPC_GRS_011_001
