parameter_id,HMGULA_CBC_010_001
gene_accession_id,MGI:105073
parameter_name,Phosphorus
gene_symbol,Tnni1
mouse_life_stage,Early adult
analysis_id,vn4r980dt81i6cc
mouse_strain,C57BL
pvalue,0.4682089
