parameter_name,Neural tube closure
gene_symbol,Alkbh3
pvalue,0.8500506
parameter_id,IMPC_GEL_027_001
mouse_strain,C57BL
analysis_id,3t2j150f05153z9
gene_accession_id,MGI:1916363
mouse_life_stage,Early adult
