analysis_id,kb38eli6z14fg41
parameter_id,IMPC_ABR_012_001
gene_symbol,Tox
mouse_life_stage,Early adult
parameter_name,30kHz-evoked ABR Threshold
pvalue,0.2680605
gene_accession_id,MGI:2181659
mouse_strain,C57BL
