analysis_id,12fs0a777965k9q
pvalue,0.6474038
gene_symbol,Ssr2
mouse_strain,C57BL
parameter_name,Plasmacytoid DC - % of DC
mouse_life_stage,Early adult
parameter_id,MGP_MLN_058_001
gene_accession_id,MGI:1913506
