analysis_id,fz4268u03wc4v4r
parameter_name,Latency to first transition into dark
pvalue,0.9880046
gene_accession_id,MGI:1933159
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Rnf114
parameter_id,IMPC_LDT_006_001
