analysis_id,q0b54g310538br8
gene_symbol,Tiprl
mouse_strain,C57BL
parameter_id,UCD_OWT_003_001
parameter_name,Spleen weight
gene_accession_id,MGI:1915087
mouse_life_stage,E12.5
pvalue,0.4216738
