parameter_name,Fusion of vertebrae
mouse_strain,C57BL
gene_accession_id,MGI:1309468
parameter_id,M-G-P_006_001_026
mouse_life_stage,Early adult
pvalue,0.874429
analysis_id,ylb2om91ci95z38
gene_symbol,Casq1
