gene_symbol,Rap2b
parameter_name,Eosinophils - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:1921262
pvalue,0.8429573
mouse_strain,C57BL
parameter_id,MGP_IMM_125_001
analysis_id,8316qhr2d655zsd
