gene_symbol,Med22
parameter_name,Total T cell percentage
gene_accession_id,MGI:98446
parameter_id,MGP_PBI_001_001
pvalue,0.2344813
analysis_id,t32r80408qw8gjx
mouse_life_stage,Early adult
mouse_strain,C57BL
