analysis_id,9262tt19238g7md
mouse_life_stage,Early adult
parameter_id,MGP_MLN_064_001
gene_accession_id,MGI:2448481
pvalue,0.4547236
gene_symbol,Mgst2
parameter_name,Total CD4+ T cells - % of CD45+
mouse_strain,C57BL
