analysis_id,44wy0064t32ens8
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_077_001
pvalue,0.7784299
gene_symbol,Hspa5
mouse_strain,C57BL
gene_accession_id,MGI:95835
parameter_name,Contact righting
