mouse_strain,C3H
parameter_id,IMPC_OFD_020_001
pvalue,0.2895352
mouse_life_stage,Early adult
gene_accession_id,MGI:95457
analysis_id,4npt4336zs6081g
parameter_name,Distance travelled - total
gene_symbol,Mecom
