gene_symbol,Ahctf1
parameter_id,IMPC_CSD_012_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1915033
pvalue,0.6996338
analysis_id,196x9a1t4ek3b3f
parameter_name,Coat - hair distribution - head
