analysis_id,90815e6524y728d
gene_accession_id,MGI:96757
mouse_strain,C57BL
gene_symbol,Lcn2
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
parameter_id,MGP_MLN_006_001
mouse_life_stage,Early adult
pvalue,0.2517851
