analysis_id,7r90c4q8qt2o587
gene_accession_id,MGI:2685266
mouse_life_stage,Early adult
parameter_id,ESLIM_008_001_001
parameter_name,Body position
gene_symbol,Pglyrp3
mouse_strain,C57BL
pvalue,0.7534904
