gene_symbol,Zmynd19
gene_accession_id,MGI:1914437
mouse_life_stage,Early adult
pvalue,0.3454727
mouse_strain,C57BL
analysis_id,wup15avze009508
parameter_name,Triglycerides
parameter_id,HMGULA_CBC_017_001
