parameter_name,Placenta Morphology
parameter_id,IMPC_GPO_002_001
pvalue,0.6706644
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
analysis_id,7pd912y667o5dc4
mouse_strain,C57BL
mouse_life_stage,E9.5
