gene_symbol,Trim46
pvalue,0.4827232
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_094_001
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
analysis_id,c5sj562y3755t32
gene_accession_id,MGI:2673000
