gene_symbol,Kifap3
parameter_id,ESLIM_011_001_705
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,2fjuo7w725798w5
pvalue,0.5602776
parameter_name,Global prepulse inhibition
gene_accession_id,MGI:107566
