analysis_id,03g5dj02t6yz5t0
mouse_life_stage,Early adult
parameter_name,% Pre-pulse inhibition - PPI4
gene_symbol,Snrpb2
mouse_strain,C57BL
parameter_id,IMPC_ACS_036_001
gene_accession_id,MGI:104805
pvalue,0.6680931
