parameter_name,Fasted blood glucose concentration
pvalue,0.2278863
mouse_strain,C57BL
gene_accession_id,MGI:1922082
mouse_life_stage,Early adult
analysis_id,y62yk85q3p5e3f5
gene_symbol,Slc45a3
parameter_id,IMPC_IPG_010_001
