gene_symbol,Fgb
gene_accession_id,MGI:99501
parameter_id,JAX_LDT_008_001
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_name,Percent time in dark
analysis_id,5l0nr2211romnea
pvalue,0.7300013
