analysis_id,42290sx31l37319
mouse_strain,C57BL
parameter_name,Follicular B cells - % of B2 cells
parameter_id,MGP_IMM_048_001
mouse_life_stage,E15.5
gene_symbol,Mecom
pvalue,0.2882319
gene_accession_id,MGI:95457
