analysis_id,zk9ps3134r1g90z
parameter_name,KLRG1+ mature NK cell number
gene_symbol,Ppm1j
mouse_strain,C57BL
parameter_id,MGP_PBI_031_001
gene_accession_id,MGI:1919137
mouse_life_stage,Early adult
pvalue,0.873917
