parameter_name,Pericardium Morphology
analysis_id,d37h49k8854d0wo
gene_accession_id,MGI:1915087
mouse_life_stage,Early adult
pvalue,0.4784936
parameter_id,IMPC_GEL_006_001
gene_symbol,Tiprl
mouse_strain,C57BL
