analysis_id,r74g68wz7d82b1e
mouse_life_stage,Early adult
parameter_name,BMC/Body weight
pvalue,0.7114475
parameter_id,IMPC_DXA_007_001
gene_symbol,Tnni1
gene_accession_id,MGI:105073
mouse_strain,C57BL
