gene_symbol,Extl1
parameter_id,IMPC_CSD_036_001
analysis_id,58av9y5eux6a5nr
gene_accession_id,MGI:1888742
mouse_strain,C57BL
parameter_name,Startle response
pvalue,0.3902712
mouse_life_stage,Early adult
