analysis_id,7z9o8sz7040cmsf
parameter_id,IMPC_IMM_051_001
gene_accession_id,MGI:1931749
parameter_name,Monocytes
gene_symbol,Pum1
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1402328
