gene_symbol,Atrn
analysis_id,f5sebo7ni2s50x1
parameter_name,Transitional 1 B cells - % of CD45+
gene_accession_id,MGI:1341628
pvalue,0.5809617
mouse_life_stage,Early adult
parameter_id,MGP_IMM_110_001
mouse_strain,C57BL
