gene_symbol,Dmap1
analysis_id,1z4c1zfy0434eml
pvalue,0.8955907
mouse_life_stage,E9.5
parameter_name,Effector CD4+ T helper cells - % of CD45+
gene_accession_id,MGI:1913483
parameter_id,MGP_IMM_073_001
mouse_strain,C57BL
