parameter_name,Lean/Body weight
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_008_001
analysis_id,65h20azr6yx3964
gene_symbol,Bmp7
pvalue,0.7930844
gene_accession_id,MGI:103302
