analysis_id,8m6386xq0d39xy9
pvalue,0.3985783
mouse_life_stage,Early adult
parameter_id,JAX_LDT_005_001
parameter_name,Time mobile dark side
gene_accession_id,MGI:1921442
mouse_strain,C57BL
gene_symbol,Arpc5l
