analysis_id,4byw209881987aa
parameter_name,Femur
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Car13
pvalue,0.6554164
gene_accession_id,MGI:1931322
parameter_id,IMPC_XRY_024_001
