parameter_name,Neutrophil percentage
analysis_id,qq9ek043wh1994l
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
pvalue,0.8054171
parameter_id,MGP_PBI_019_001
