analysis_id,e205zp4o6750u52
mouse_life_stage,Early adult
gene_symbol,Sdcbp2
gene_accession_id,MGI:2385156
mouse_strain,C57BL
parameter_name,Pale yolk sac
pvalue,0.5541958
parameter_id,IMPC_GEL_017_002
