parameter_name,Hemoglobin
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Tatdn3
analysis_id,z910xi68548n1ik
pvalue,0.1960618
parameter_id,IMPC_HEM_003_001
gene_accession_id,MGI:1916222
