analysis_id,1689e1e962172p4
parameter_id,HRWLLA_GRS_010_001
gene_symbol,DMAP1
parameter_name,Forelimb grip strength normalised against body weight
gene_accession_id,MGI:1913483
mouse_strain,C57BL
mouse_life_stage,E12.5
pvalue,0.6074823
