analysis_id,4605kj61zws982i
parameter_id,MGP_PBI_034_001
mouse_life_stage,Early adult
parameter_name,B cell number
pvalue,0.6886934
mouse_strain,C57BL
gene_symbol,Tubb4b
gene_accession_id,MGI:1915472
