parameter_id,IMPC_XRY_002_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1919949
gene_symbol,Lime1
parameter_name,Zygomatic bone
analysis_id,53s6b7c0vv17o3j
pvalue,0.2190926
