gene_symbol,Orc2
parameter_id,IMPC_IMM_004_002
mouse_life_stage,E9.5
analysis_id,35gldtl066o3204
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
gene_accession_id,MGI:1328306
pvalue,0.6003061
mouse_strain,C57BL
