analysis_id,7hk8bv2i4y8f46f
parameter_name,Follicular B cells - % of CD45+
mouse_strain,C57BL
gene_symbol,Hpca
mouse_life_stage,Late adult
pvalue,0.9318275
parameter_id,MGP_IMM_112_001
gene_accession_id,MGI:1336200
