gene_symbol,Gja10
parameter_id,M-G-P_008_001_013
analysis_id,8ma240vzfu64737
gene_accession_id,MGI:1339969
mouse_strain,C57BL
pvalue,0.8065602
mouse_life_stage,Early adult
parameter_name,Startle Response
