mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914583
analysis_id,t8z6900bgx89h40
parameter_name,Tibia length
pvalue,0.54053
gene_symbol,Stk35
parameter_id,IMPC_XRY_033_001
