analysis_id,95gylq747lw7800
gene_symbol,Ubxn11
mouse_life_stage,Early adult
parameter_id,JAX_URI_002_001
parameter_name,Creatinine
gene_accession_id,MGI:1914836
pvalue,0.172542
mouse_strain,C57BL
