gene_symbol,Dhdds
gene_accession_id,MGI:1914672
parameter_id,IMPC_IMM_004_001
analysis_id,7biqh126lcno8ea
parameter_name,NKT cells (panel A)
pvalue,0.1312202
mouse_strain,C57BL
mouse_life_stage,Early adult
