gene_symbol,Morn5
parameter_id,IMPC_ABR_008_001
analysis_id,u7q7mnh2aavfpl5
gene_accession_id,MGI:1922745
mouse_strain,C57BL
parameter_name,18kHz-evoked ABR Threshold
pvalue,0.5101337
mouse_life_stage,Early adult
