analysis_id,11400fm634t2r49
parameter_id,MGP_IMM_015_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1931322
parameter_name,Resting CD8+ T cells - % of CD8+
pvalue,0.06891728
mouse_strain,C57BL
gene_symbol,Car13
