parameter_name,Basophil differential count
analysis_id,nhdqzw0hvt595jj
gene_symbol,Zfp683
gene_accession_id,MGI:3650254
parameter_id,IMPC_HEM_038_001
pvalue,0.7129912
mouse_strain,C57BL
mouse_life_stage,Early adult
