gene_symbol,Lcn2
analysis_id,39x8z8kd7t77hz4
gene_accession_id,MGI:96757
parameter_id,IMPC_GEO_009_002
mouse_life_stage,Early adult
parameter_name,Hemorrhage
mouse_strain,C57BL
pvalue,0.6212226
