parameter_name,Body length
gene_symbol,Atg4c
analysis_id,e50938pz78q6wu8
parameter_id,IMPC_DXA_006_001
mouse_life_stage,Early adult
pvalue,0.3605763
gene_accession_id,MGI:2651854
mouse_strain,C57BL
