analysis_id,o9h5814p0oc2a2j
pvalue,1.03147
mouse_strain,C57BL
gene_symbol,Tox
mouse_life_stage,Early adult
gene_accession_id,MGI:2181659
parameter_id,JAX_LDT_005_001
parameter_name,Time mobile dark side
