analysis_id,kvh59548w4r26qf
gene_accession_id,MGI:1914071
parameter_name,Basophil cell count
parameter_id,IMPC_HEM_037_001
pvalue,0.528949
mouse_strain,C57BL
gene_symbol,Bcs1l
mouse_life_stage,E12.5
