analysis_id,z6c79443hb9m991
gene_symbol,Ap5s1
pvalue,0.2224851
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,RR
gene_accession_id,MGI:1916846
parameter_id,IMPC_ECG_004_001
