analysis_id,xhc01n64d1l2l71
gene_accession_id,MGI:2446274
pvalue,1.101824
mouse_life_stage,Middle aged adult
parameter_id,IMPC_OFD_017_001
gene_symbol,Frmpd1
parameter_name,Center average speed
mouse_strain,C57BL
