parameter_name,Red blood cell count
analysis_id,9b91m1p56e01p58
mouse_life_stage,Early adult
pvalue,0.8116146
gene_symbol,Gja10
parameter_id,IMPC_HEM_002_001
gene_accession_id,MGI:1339969
mouse_strain,C57BL
