analysis_id,290s43su77j84t1
gene_accession_id,MGI:3650254
pvalue,0.2542811
parameter_name,Total cholesterol
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_015_001
mouse_strain,C57BL
gene_symbol,Zfp683
