parameter_id,IMPC_CSD_079_001
analysis_id,x67dp0z62l1594f
mouse_life_stage,Late adult
pvalue,0.6817321
mouse_strain,C57BL
parameter_name,Aggression
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
