gene_symbol,Psmd14
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Alpha beta T cell percentage
pvalue,0.08020445
gene_accession_id,MGI:1913284
analysis_id,o761nsg6en45kyu
parameter_id,MGP_PBI_002_001
