parameter_name,Fat mass
gene_accession_id,MGI:88174
mouse_life_stage,E12.5
pvalue,0.2182656
gene_symbol,Bmi1
analysis_id,c42bd7616q6894x
parameter_id,IMPC_DXA_002_001
mouse_strain,C57BL
